1A,1B,1C,2,← Groups from AD normalisation
,,,,
YJL160C,YBR293W,YKR062W,YHR011W,
YJL162C,YBR295W,YKR064W,YHR013C,
YJL201W,YBR296C,YKR103W,YHR024C,
YJL214W,YBR297W,YLL028W,YHR031C,
YJR005W,YCL002C,YLL041C,YHR035W,
YJR016C,YCL004W,YLL061W,YHR036W,
YJR052W,YCL005W,YLR026C,YHR075C,
YJR061W,YCL005W-A,YLR028C,YHR092C,
YJR072C,YCL008C,YLR046C,YHR098C,
YJR078W,YCL009C,YLR047C,YHR103W,
YJR102C,YCL010C,YLR082C,YHR109W,
YJR154W,YCL016C,YLR121C,YHR113W,
YKL012W,YCL026C-A,YLR142W,YHR137C-A,
YKL038W,YCL033C,YLR151C,YHR152W,
YKL045W,YCL034W,YLR165C,YHR171W,
YKL047W,YCL035C,YLR168C,YHR203C,
YKL050C,YCL036W,YLR205C,YHR209W,
YKL068W-A,YCL040W,YLR211C,YHR214W,
YKL074C,YCL041C,YLR238W,YIL002C,
YKL075C,YCL042W,YLR241W,YIL009W,
YKL093W,YCL043C,YLR245C,YIL013C,
YKL116C,YCL049C,YLR253W,YIL020C,
YKL120W,YCL051W,YLR254C,YIL050W,
YKL125W,YCL052C,YLR290C,YIL097W,
YKL141W,YCL055W,YLR291C,YIL103W,
YKL159C,YCL056C,YLR294C,YIL136W,
YKL162C,YCL057C-A,YLR301W,YIL151C,
YKL189W,YCL058C,YLR328W,YIR005W,
YKL194C,YCL058W-A,YLR345W,YIR007W,
YKR010C,YCL059C,YLR368W,YIR033W,
YKR013W,YCL064C,YLR386W,YJL002C,
YKR043C,YCR002C,YLR387C,YJL008C,
YKR076W,YCR004C,YLR393W,YJL013C,
YKR101W,YCR015C,YLR408C,YJL019W,
YLL003W,YCR020C,YLR415C,YJL029C,
YLL018C,YCR020C-A,YML004C,YJL062W,
YLL022C,YCR020W-B,YML005W,YJL078C,
YLL042C,YCR021C,YML009W-B,YJL085W,
YLR067C,YCR027C,YML054C,YJL094C,
YLR072W,YCR028C,YML065W,YJL099W,
YLR113W,YCR028C-A,YML068W,YJL108C,
YLR133W,YCR031C,YML073C,YJL112W,
YLR144C,YCR034W,YML104C,YJL123C,
YLR148W,YCR035C,YMR014W,YJL127C,
YLR204W,YCR036W,YMR017W,YJL138C,
YLR220W,YCR038C,YMR026C,YJL144W,
YLR221C,YCR041W,YMR041C,YJL146W,
YLR240W,YCR043C,YMR048W,YJL154C,
YLR250W,YCR045W-A,YMR070W,YJL155C,
YLR259C,YCR046C,YMR075W,YJL159W,
YLR260W,YCR048W,YMR078C,YJL181W,
YLR261C,YCR051W,YMR080C,YJL185C,
YLR262C,YCR052W,YMR093W,YJL194W,
YLR275W,YCR060W,YMR103C,YJL208C,
YLR287C,YCR066W,YMR104C,YJL212C,
YLR323C,YCR071C,YMR105C,YJR007W,
YLR376C,YCR073C,YMR105W-A,YJR059W,
YLR382C,YCR073W-A,YMR127C,YJR060W,
YLR401C,YCR075C,YMR131C,YJR098C,
YLR402W,YCR075W-A,YMR136W,YJR119C,
YLR424W,YCR076C,YMR158W,YJR121W,
YLR441C,YCR079W,YMR166C,YJR122W,
YLR448W,YCR082W,YMR187C,YJR125C,
YLR451W,YCR087C-A,YMR200W,YJR131W,
YLR457C,YCR090C,YMR204C,YJR134C,
YML016C,YCR094W,YMR221C,YJR138W,
YML041C,YCR095C,YMR224C,YJR142W,
YML062C,YCR097W,YMR252C,YJR151C,
YML071C,YCR098C,YMR277W,YKL034W,
YML077W,YCR100C,YMR285C,YKL035W,
YML081C-A,YCR101C,YMR292W,YKL051W,
YML094W,YCR102C,YMR312W,YKL064W,
YML097C,YCR105W,YNL010W,YKL071W,
YML112W,YCR107W,YNL020C,YKL082C,
YML129C,YDL001W,YNL024C-A,YKL092C,
YMR013C,YDL002C,YNL082W,YKL103C,
YMR036C,YDL004W,YNL131W,YKL107W,
YMR055C,YDL006W,YNL151C,YKL110C,
YMR060C,YDL008W,YNL153C,YKL114C,
YMR062C,YDL010W,YNL164C,YKL124W,
YMR074C,YDL013W,YNL175C,YKL134C,
YMR113W,YDL015C,YNL179C,YKL140W,
YMR117C,YDL016C,YNL180C,YKL155C,
YMR119W,YDL022W,YNL188W,YKL172W,
YMR135C,YDL024C,YNL203C,YKL193C,
YMR154C,YDL029W,YNL208W,YKL196C,
YMR171C,YDL042C,YNL249C,YKL216W,
YMR172W,YDL043C,YNL295W,YKL220C,
YMR179W,YDL045C,YNL305C,YKR002W,
YMR182C,YDL046W,YNL336W,YKR021W,
YMR197C,YDL047W,YNR028W,YKR056W,
YMR230W,YDL048C,YNR033W,YKR063C,
YMR230W-A,YDL051W,YNR045W,YKR071C,
YMR234W,YDL052C,YNR049C,YKR073C,
YMR237W,YDL055C,YNR053C,YKR081C,
YMR238W,YDL057W,YOL031C,YKR089C,
YMR241W,YDL059C,YOL033W,YKR092C,
YMR251W,YDL061C,YOL043C,YLL004W,
YMR260C,YDL064W,YOL052C,YLL012W,
YMR273C,YDL069C,YOL060C,YLL018C-A,
YMR286W,YDL070W,YOL093W,YLL032C,
YMR289W,YDL072C,YOL095C,YLL057C,
YMR290C,YDL075W,YOL097C,YLL058W,
YMR295C,YDL076C,YOL100W,YLR001C,
YMR303C,YDL078C,YOL111C,YLR002C,
YMR313C,YDL080C,YOL114C,YLR015W,
YNL061W,YDL081C,YOL136C,YLR023C,
YNL066W,YDL083C,YOL137W,YLR032W,
YNL077W,YDL085C-A,YOR019W,YLR037C,
YNL096C,YDL085W,YOR022C,YLR041W,
YNL098C,YDL086C-A,YOR031W,YLR044C,
YNL100W,YDL086W,YOR042W,YLR057W,
YNL113W,YDL090C,YOR071C,YLR075W,
YNL127W,YDL091C,YOR072W-A,YLR094C,
YNL128W,YDL092W,YOR080W,YLR103C,
YNL136W,YDL097C,YOR095C,YLR117C,
YNL144C,YDL099W,YOR177C,YLR126C,
YNL177C,YDL103C,YOR180C,YLR131C,
YNL184C,YDL108W,YOR184W,YLR135W,
