1,2A,2B,2C,3A,3B
YOR377W,,YDR510W,YKR043C,YER164W,YKL009W
YOR380W,,YDR511W,YKR048C,YER167W,YKL018W
YOR385W,,YDR512C,YKR059W,YER169W,YKL021C
YPL013C,,YDR513W,YKR065C,YFL001W,YKL027W
YPL022W,,YDR517W,YKR066C,YFL007W,YKL039W
YPL095C,,YDR519W,YKR070W,YFL008W,YKL080W
YPL137C,,YDR524C-B,YKR088C,YFL016C,YKL081W
YPL140C,,YDR529C,YLL018C,YFL024C,YKL100C
YPL151C,,YDR533C,YLL024C,YFL033C,YKL104C
YPL167C,,YEL001C,YLL045C,YFL036W,YKL120W
YPL176C,,YEL006W,YLR008C,YFL047W,YKL126W
YPL184C,,YEL009C,YLR027C,YFL049W,YKL127W
YPL195W,,YEL017C-A,YLR029C,YFR002W,YKL145W
YPL196W,,YEL017W,YLR044C,YFR015C,YKL157W
YPL224C,,YEL020W-A,YLR056W,YFR028C,YKL175W
YPL247C,,YEL026W,YLR075W,YFR029W,YKL181W
YPL250C,,YEL027W,YLR083C,YFR030W,YKL182W
YPR066W,,YEL033W,YLR089C,YFR038W,YKL185W
YPR070W,,YEL034W,YLR167W,YFR040W,YKL210W
YPR093C,,YEL038W,YLR172C,YGL003C,YKL212W
YPR107C,,YEL044W,YLR175W,YGL013C,YKL216W
YPR115W,,YEL051W,YLR180W,YGL014W,YKR001C
YPR117W,,YEL052W,YLR192C,YGL017W,YKR026C
YPR152C,,YEL066W,YLR209C,YGL021W,YKR056W
,,YER004W,YLR229C,YGL025C,YKR067W
,,YER007C-A,YLR231C,YGL035C,YKR076W
,,YER009W,YLR259C,YGL043W,YKR081C
,,YER010C,YLR300W,YGL045W,YLL008W
,,YER016W,YLR301W,YGL056C,YLL048C
,,YER018C,YLR340W,YGL062W,YLR017W
,,YER019C-A,YLR354C,YGL073W,YLR028C
,,YER020W,YLR372W,YGL092W,YLR058C
,,YER023W,YLR420W,YGL093W,YLR060W
,,YER031C,YLR429W,YGL094C,YLR133W
,,YER037W,YLR432W,YGL095C,YLR153C
,,YER044C,YLR441C,YGL097W,YLR186W
